,HG1,HG10,HG4,HG5,HG6,HG7,HG8,HG9,MG1,MG10,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,HR1,HR10,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,MR1,MR10,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9
294.9/884,42803.08623,10895.08387,25365.47978,59482.61391,42503.25095,33562.49797,11410.88536,15986.55707,1588.676464,2586.168003,6955.459636,13494.62393,27872.11696,6699.017291,1995.023642,2055.883145,2070.600201,15704.65964,12157.87872,19829.75876,39062.66981,18298.32571,27308.75065,44767.29954,23608.07201,14045.08222,20730.83467,50634.96053,6537.261897,5612.261657,2715.207966,2995.343197,3371.97767,1547.199175,161.1290285,2866.623023,2656.930879,5224.865809
311.2/295,14964.09767,968.4712722,701.6896143,375.378619,2666.041819,2876.350211,1430.55226,10421.87903,29301.82332,18009.30618,24379.9483,28119.4957,3347.856941,12235.28167,4201.641553,6705.230888,6983.826905,3186.997541,26995.38944,1780.318169,30058.19719,905.5437628,1659.767802,628.3663804,8381.21053,1381.860309,11076.89782,9571.853559,11497.66489,4721.457648,4948.003357,8590.085209,9845.763423,7260.055203,12541.76817,10422.62185,10775.30752,2881.008402
312/1889,0,588.0239591,0,552.7525438,2006.239443,1104.615926,339.6004051,357.1120569,85723.42328,7752.432113,56512.82176,57904.28662,9875.943323,123309.7768,1727.292679,2300.032129,1673.499963,8626.165248,260.3531937,83.23792338,1221.365851,368.6834299,0,137.4050915,86.5942615,1220.772649,548.6636589,137.6862563,85058.58654,66432.92954,6371.429225,28883.12894,1669.121214,17130.51955,5124.181801,1037.070831,526.0440801,34771.20374
312.1/300,23607.42007,463.9929064,750.8542802,143.2718617,1246.285878,3568.527612,1731.635789,8757.271971,18185.19148,13383.75913,18763.65199,19813.61532,2306.114734,9723.316477,4079.264889,6195.368227,5683.215909,3028.815537,29358.79151,2084.310944,39200.59044,574.5446715,1005.249982,878.9735969,7050.679477,1478.789581,8979.299757,14977.59297,12628.1799,9349.884442,19643.80873,17169.89835,12909.06387,19755.81144,8433.761286,26101.74534,24789.15098,3375.600859
317.2/345,37960.27963,54507.12246,52831.9603,120293.5852,119462.9221,120879.0971,47983.41994,44704.07061,30856.02964,39001.62684,46234.38201,16768.60134,123451.5366,32757.60464,36773.96344,52844.66602,51124.36624,69952.57099,96294.51111,82077.96172,21114.69436,59710.19801,31516.1416,24250.31652,33833.40644,51044.10764,31829.10481,14115.3309,35221.14286,21546.45445,23630.41463,29704.03909,16332.79923,12611.43382,6867.459948,24402.14474,24562.18371,16118.20756
325.2/1282,2185.887082,2144.864271,8656.485076,775.2780703,2402.221247,2891.89175,1839.809426,8647.576775,2198.384058,8885.704611,9552.258819,5134.923067,1993.880692,2571.678189,1152.783654,943.4682238,750.5790626,1312.235651,3192.956155,33123.75087,2063.858714,16315.72503,8904.190613,66977.62105,30966.04481,14475.41696,15508.26544,16306.99359,63451.05789,3782.064234,27829.73162,1689.335348,2207.040882,1667.429583,900.3276576,1060.554417,611.2733107,2227.391589
325.9/941,46641.94122,122565.838,43629.61381,3509.971854,52327.08218,86832.01256,196486.1024,15273.09403,27356.10658,335155.8175,186769.3975,220176.3345,240218.1064,58552.83369,284120.4399,308303.2015,314833.4293,183412.3808,0,38513.91698,0,11353.96566,14672.71907,7589.312312,38282.53117,8438.361115,232258.7356,136523.8504,73506.40321,96922.51084,108835.2593,171591.8079,245879.3163,262382.2898,270613.7123,161138.1347,348358.715,104900.9548
336.8/768,19660.62377,7852.557091,28140.96295,19920.3225,21549.06883,19234.30476,8285.821294,28357.87445,11436.87093,13904.84652,20752.46394,18105.00114,9390.733009,16670.17435,688.4268792,4174.90791,6027.066487,4808.508452,34721.83834,34779.08824,22840.78622,33534.28372,35257.68157,42735.37377,22863.54415,6457.274189,17890.34011,21138.10228,22616.38913,4781.185081,7658.325048,19473.84135,12594.95429,545.7587847,307.4905177,16493.56424,13762.35729,493.5975768
340.9/1104,72.32053638,257.227474,12809.0208,4057.743152,29065.33781,2281.134049,379.5658293,17348.14481,1045.060921,419.419759,1053.179174,21188.3324,55853.7221,21941.35154,1989.405389,1953.299314,2410.273221,31326.08377,190.1164763,24309.58848,152.397206,393.3129752,0,12891.27882,22018.23627,38868.17425,32066.07105,73349.79465,33038.4879,64476.34833,36637.14497,31656.76169,41197.06509,31488.22592,6213.567176,30917.0776,42963.13014,59875.3128
341.2/1096,111092.9091,4162.980611,14670.15768,26016.21847,30538.52708,22553.13054,6129.684676,25072.38669,3645.772957,3321.477962,18285.72478,45059.20374,57794.60045,52224.80288,3038.040399,6594.011027,6204.5749,30441.89377,22548.85992,21085.39012,44525.05291,56494.55091,60832.80744,133729.9651,73893.13924,91807.29364,98069.43387,139741.054,11211.84587,50552.53417,63945.03518,28163.85101,9370.783342,29700.71772,7253.105126,19050.86143,78471.746,49668.10278
