,HG1,HG10,HG4,HG5,HG6,HG7,HG8,HG9,MG1,MG10,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,HR1,HR10,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,MR1,MR10,MR2,MR3,MR4,MR5,MR6,MR7,MR8,MR9
388.8/332,7761.126285,11838.28107,28604.55693,17500.72468,10180.66122,16105.95882,9395.845867,11743.18163,3203.285709,12018.66169,8899.658402,6664.163888,13422.17215,5267.739303,5237.751234,7725.997979,6362.98222,4987.879613,17967.46308,23120.99231,36612.20126,11904.51325,22278.01461,18005.36697,15864.19259,11591.38686,10994.78446,13853.56986,4602.092259,7965.631682,3688.369977,4425.648491,3749.654398,3967.612739,2316.769877,8096.600113,8441.976324,5032.455435
389.1/241,11842.47746,28361.1463,16967.13186,24672.23793,28012.26308,24935.98307,31405.81463,26620.21173,31171.29121,28591.36457,36372.97446,43264.27119,31152.12493,33661.80246,30081.90933,25282.75346,24522.45569,17621.66841,19246.44485,31017.49257,32995.245,19593.69731,31299.2731,28616.20763,23671.51465,8532.173295,22064.911,20488.43396,35466.36291,6919.878855,15819.11241,11546.22594,4648.5356,5605.295825,1235.732977,7860.624022,5335.194351,3021.850133
390/539,8319.839379,4604.9309,6555.114629,7496.873134,8933.128725,13254.34482,10267.2397,7959.310224,10158.67984,11729.25522,8796.64549,10798.38285,9519.507256,9710.741345,10731.09172,14074.25071,18384.84283,11781.80244,3649.366882,8289.945516,0,2235.23232,3815.80644,2873.213118,9669.816953,11506.21856,13177.52593,10530.78968,10021.2427,18349.15952,11173.99814,15950.72567,12548.4445,13432.68578,13543.96978,14805.10092,19346.91339,15951.43815
390/434,25137.16815,14692.7831,17881.18172,4699.509489,3921.958589,4669.240981,10844.0421,8092.105928,1507.41078,8365.027358,12755.86295,13420.57576,15723.81808,15731.63083,8471.83482,2526.452273,3847.669755,981.1770047,1094.327264,32310.77507,0,18064.74972,23431.72395,18335.59644,13815.12791,14045.18813,17498.73365,16364.92991,0,15932.08172,0,0,0,26333.60694,10626.86192,3790.393777,11163.61754,43898.7933
390.7/476,10033178.57,7250914.386,10632651.39,8135744.612,6482000.721,3916617.518,5895625.924,6625850.973,3651942.08,3034529.481,4689837.903,5622210.099,5245834.001,5801908.793,3173087.015,2855661.949,4623177.589,3458181.276,4686387.606,9867407.636,8284672.91,12939379.38,6142825.416,7983415.856,6536458.194,6382230.468,8320264.993,8078842.946,7048827.532,4085838.904,7128279.346,7877050.372,5673181.279,5639725.049,2182977.058,5296129.469,4701852.626,5507705.935
393.6/1300,6371.444571,1362.402095,7591.364047,12111.54481,4223.584665,4014.679227,2629.52157,530.6784367,393.2262092,184.3053311,151.8350576,78.7855475,845.3268467,298.0574087,176.5731592,154.5999999,164.8010807,199.2773794,37350.03273,27652.69421,27347.1378,20956.66875,22894.83381,26545.31851,22835.73632,11506.62067,13600.99015,22227.19715,255.5550093,6286.504061,263.1399619,886.0971578,84.92188981,0,120.9091038,866.8586642,368.8968624,1915.488394
395.1/263,4610.728871,14724.38426,6235.410887,12201.14094,12434.70545,12567.47583,15508.39668,5993.359517,4492.91383,1158.784025,8925.843075,5456.754701,2090.45774,3863.264671,2792.018715,1438.361568,1013.499338,956.186887,6896.925579,7328.642177,11476.97133,9275.266396,8569.494007,11704.49512,3149.278187,2112.097092,4637.425415,6297.838325,2343.942124,556.3841497,357.8328053,431.3399883,498.1723035,289.1520277,151.1134798,510.1108871,410.5612337,433.8028962
396.9/2078,833.4984534,6719.464587,195.1342492,694.4869195,160.4027209,1391.540638,0,1096.618462,71262.88027,42582.48647,17553.38034,8288.933685,5251.820961,22365.40214,31362.27617,15323.95271,15789.72253,2926.336878,138.6543295,547.2084307,416.773881,246.652765,80.76018517,334.9649647,394.3535366,455.6589624,633.5849827,172.7158937,3948.710958,318.1755422,3412.227061,3249.346943,854.5442585,2958.04374,597.9991151,521.716834,585.2972529,382.5892935
398.9/1288,13401.44583,2369.894776,524.7682537,447.6824873,4561.437784,384.3532087,4720.947044,11146.31814,2186.641723,3791.002063,4917.105521,6481.342667,28728.93041,4385.871646,736.0317379,1612.428665,1552.828591,16829.96477,1268.299243,14417.32096,738.7263375,37827.83945,1063.042677,924.0412198,510.2580178,40778.2684,56136.7303,477.5868716,25109.16247,70890.91442,17677.38325,43420.3759,34443.69208,11480.48299,4040.569597,9792.193055,9379.209139,63244.2023
399.4/329,2921.767442,7228.507074,4898.346726,2460.87405,1683.627419,2115.900096,3666.134452,5064.351096,3014.407618,2990.122426,4482.259605,3068.945772,3652.72046,3134.395145,3752.904998,4279.857726,4781.235978,2761.457208,65946.11811,38498.78348,55938.41966,90902.15547,42072.0593,38778.49796,45676.14507,35124.93105,39688.56994,22499.08167,17247.59231,56972.59443,27286.74392,38551.85418,33832.27713,22845.00679,16027.01814,42939.65609,52195.7065,30047.64522
400.9/1420,3867.60556,7672.15954,371.4859884,5275.841259,15385.44544,11364.03296,5052.285814,8454.312364,7665.878702,37405.43042,22015.8936,34160.53197,29842.96956,11417.34554,29787.62091,44278.27515,42213.55636,31798.71512,167.3808641,5271.515687,360.5284924,2133.242565,0,6465.452138,6908.914877,30907.83758,13944.28096,17188.66586,15209.88506,45483.85322,14465.79623,14304.85671,5622.008432,13950.78614,23039.80794,17883.73002,16595.46977,22149.27028
401.2/1420,31922.12829,38392.76062,10166.96811,21677.69924,35441.45896,42642.07749,27284.33812,43961.60718,9268.17451,59932.82957,45437.21836,44800.91561,53169.26214,22746.55543,28617.00748,43634.43979,42538.90354,31850.31558,6907.134803,31209.78964,4004.696986,35839.521,14893.67045,35464.99329,41133.82805,53991.92519,43728.45676,42855.84123,17381.51269,44214.70543,14241.74,14018.96563,5622.008432,14186.78673,23001.68584,17993.5963,17078.9338,21658.89772
401.1/2324,981.1763067,2620.839186,801.4783306,859.7200734,172.1544155,1104.07684,1031.789078,1638.935917,21015.16842,24883.31713,15072.85308,11622.40446,16670.7614,26183.89278,42212.55813,24081.68718,30040.19644,8743.83566,389.4695076,1505.022624,354.7107219,901.8351946,571.8701616,841.022228,977.3701484,1288.061348,2905.354705,873.0042809,19571.76272,16698.56525,24217.09278,19696.25951,26520.21272,11067.65009,19113.95142,19018.67596,16076.47459,26945.62368
401.4/2326,1939.282891,8073.950178,2348.852863,2972.660401,3701.748074,4761.354604,4433.261376,4068.505556,20581.42432,25167.85969,19994.64276,13288.42619,16634.93349,26403.5609,42097.03251,24805.72948,31055.48567,8956.401832,4501.405692,3638.832534,2320.194194,2545.388902,2158.711978,4852.749487,1614.106845,5524.084772,4857.098729,6224.635673,19876.17022,16765.34852,24537.5839,19501.78582,26335.20387,10975.97022,18880.4785,18930.5512,15912.77691,26531.21893
401.7/1422,35008.39509,64943.62722,19603.59424,37704.89706,43889.0341,47845.15081,45802.42368,40711.23639,3473.921442,28279.48259,25685.55396,16941.10712,28908.03742,13824.06628,5409.032858,6669.103531,7645.36585,5242.516235,17822.35193,54196.77912,19752.49966,34622.51002,24780.32821,51298.39365,40773.20803,28164.66749,32596.7911,28853.43784,4739.504829,6111.421494,2816.100928,1910.555528,1240.815513,2517.206217,3540.520654,2793.681867,3277.148612,3485.246921
402.7/241,2784.484878,9612.483091,4287.20484,6394.584261,7845.534766,11062.75435,4237.72048,12509.32524,21539.84483,16597.69817,11167.49002,7411.358309,17652.98204,9528.916932,2878.449102,15388.86165,14212.88011,16953.5207,22099.40623,10608.25804,12346.67016,24696.35675,11342.59516,7219.980085,14605.90467,23989.44278,17528.57043,30496.69967,10429.44017,16575.94171,23001.57048,13932.07885,7766.850722,12240.15335,9911.513189,13292.07972,7654.863447,17977.41584
403/1620,670.9398342,10837.92307,54.61445033,378.8531004,1802.628372,604.2412467,937.0545229,11898.24018,20015.71434,10529.78667,34790.4906,27691.99233,14350.47052,21861.10455,12937.90838,11029.89061,9659.461537,9324.545755,244.4007787,1459.955223,150.0855944,236.2591867,364.388595,119.7186579,146.0131268,4739.187464,0,308.8599809,28343.90263,4591.754322,15544.7801,4330.767831,14994.38169,6358.746285,7684.804469,11890.47455,10158.62441,13688.42056
403.2/241,6525.707116,21160.75354,13305.93138,12569.84955,14591.00592,24180.45045,7805.345721,17999.56046,22267.88202,14045.31535,10928.16359,7590.176796,15169.36154,9158.936839,2239.912227,11633.65555,8885.013326,11575.31368,32603.55602,14491.54881,18916.64148,45974.19542,16732.13256,23191.25473,12553.79444,18319.17312,18575.43394,38626.22709,8265.332762,5365.551369,15715.89236,5300.096164,2347.286307,3596.982481,2689.942242,4055.098549,2279.357865,4314.707727
405.3/293,2562.596743,3572.537009,3323.510461,2660.104943,4823.407583,5877.584858,6748.779068,8278.901161,36246.01697,24727.44109,19964.05824,23428.62748,7234.487131,18962.09763,14184.67129,18233.65054,17246.63885,12863.64627,7463.332424,5700.128248,8016.611315,3404.11079,5805.690069,3222.136888,5346.141977,4530.228871,5922.297458,1291.509535,20111.07248,6552.829536,25510.57746,27000.70821,28519.6707,13393.21466,9718.792594,13608.79303,12086.51462,10788.85581
405.6/293,7489.287418,3356.650224,6376.054341,3901.618586,5895.60106,8597.886486,3165.046283,19510.46245,41919.60851,32742.12771,28375.68844,34064.41233,11639.54084,12069.5667,15587.61728,18674.73273,18652.12982,19117.52985,7124.988067,7119.18629,7992.631477,2914.48959,8132.746021,4262.043504,2715.93765,6569.074485,5484.009704,3986.618204,21856.97859,6373.254113,30150.52165,17612.12909,17185.46742,11562.55168,17817.66546,7317.846344,7049.910302,6726.361214
405.8/342,3320.999287,1204.569301,1414.950892,3894.188942,758.8117208,2116.188688,2384.668648,1824.931553,2430.099153,3743.437661,1933.692735,1407.855337,7898.046833,3567.006816,4885.628345,3298.104745,4151.362933,7428.987708,1478.800912,7589.873691,20060.7888,12415.61103,5544.93763,23064.06479,13921.42539,23923.10408,21254.88813,20227.98033,2422.963556,9233.546895,4987.582199,3874.691675,5958.742506,12595.74854,322.9773399,5283.431229,5480.348522,21145.91235
407.6/1253,36473.53242,23749.37374,51495.33639,20411.0346,16842.88394,17403.70462,15680.13194,12574.20853,3671.376075,1266.401756,6277.828862,1501.970465,24169.35098,24961.487,595.5740254,433.981138,297.074391,25751.95005,5984.966174,20094.38553,41460.57952,12862.98833,8967.155548,29741.32402,8513.826181,12538.16559,10164.64396,13018.83303,3964.90673,5366.99219,534.0988265,1699.565225,402.7701262,990.6621885,397.4738363,651.0955774,738.0923915,787.9991521
410.9/1456,782.0354824,1473.933358,818.0145808,1112.562137,934.7290442,1368.620317,1441.07041,1495.539311,640.3027071,521.6469869,592.7394837,667.3969087,640.5624177,747.1068339,343.6674458,213.003549,360.9745551,339.035969,98.07552971,5785.46955,286.63582,1850.448975,125.0862124,2425.303501,2856.331583,24093.21178,8143.821917,6677.135503,1900.724191,43457.36248,4039.100127,7025.68567,23928.68995,10320.88059,29851.79899,20861.3406,20244.72331,11753.7223
423.4/301,30357.59042,35528.7563,65684.59155,40980.60066,36245.39187,48902.40243,27475.95594,54618.04175,15505.52141,39189.55752,32934.25037,38044.44391,36742.6464,12069.6181,77363.18729,52152.01285,46489.52718,41445.75524,48882.68125,83391.69014,55708.93616,63902.98178,67236.28554,66357.08918,58882.71705,102905.7276,96159.84301,79025.83376,20822.81856,24353.00723,43095.31251,17038.55851,31264.64592,37018.15889,47765.46868,18733.52763,28515.61252,25981.82991
426.9/1640,10290.14692,20184.30604,0,4836.441401,15710.76546,18103.31219,18107.4259,13597.80239,10709.20513,14114.24784,22335.89868,13552.6504,26647.63455,13580.44522,5515.027616,12184.4732,12675.97663,15753.19267,0,1520.525842,426.8017303,267.6275776,359.7727608,408.2629217,0,13123.27483,87.87235387,0,18041.60647,14296.09623,12988.98686,22963.12538,12181.14568,12491.31982,5851.290896,21214.27582,19723.25715,19320.312
426.9/1585,3887.634494,3784.3949,2257.366282,3234.843407,2301.880415,3007.017994,4492.51643,3755.804845,1214.004019,1084.732005,4134.072131,3168.74145,3922.75386,1988.552458,1294.60819,789.030226,1328.4671,1868.666971,189.6227789,34284.81923,168.175025,357.0877061,231.3197176,804.7225256,19517.30644,9588.284145,12966.18028,11750.75997,9193.714279,60059.31499,10986.62954,9320.531859,27972.83404,5579.503646,16702.39582,8032.13525,5501.521431,39691.03092
427.3/1641,49517.12919,19343.14737,25243.96135,51365.7517,38965.81493,39891.82991,22819.75646,59341.22115,10167.41739,13590.26707,22104.32826,12734.76937,24795.07578,13018.46768,5663.993083,11791.23802,12210.07965,14895.32579,1442.630121,105483.254,931.2136141,13546.57829,4047.546233,8508.502607,46592.92543,43121.26915,32894.75297,2651.627364,17344.61821,13931.50806,12151.8342,22523.32328,12181.14568,11724.1912,5754.370953,20400.55728,19142.62272,18327.85327
430.9/1296,14438.94771,26392.98049,1369.291861,695.8554561,6916.815867,6412.456446,18569.16626,16622.90329,3414.593676,13490.16282,9029.21863,7369.713715,11325.86427,10509.68711,1467.513319,5156.794207,5691.862004,6198.341255,140.0868573,12959.15132,267.3826307,4432.004558,0,865.6120262,9039.351673,3911.655472,12806.07583,1132.243772,5950.120165,9659.614104,6237.921445,9953.53964,8156.635078,14614.16966,14453.48544,33768.68235,31743.90097,22946.13223
431/1488,56149.63511,13665.2199,0,4237.130019,15194.54302,12651.11591,9434.685267,69787.20021,8771.944212,38574.40995,57788.48669,49981.89266,84252.9245,36109.90428,29157.92924,27845.12371,25580.57612,35206.27333,296.1152526,72333.04215,246.4346017,135.7950423,167.7884291,85.250223,35985.58696,54237.50614,57544.01941,22728.04892,40150.50008,31572.8312,25244.65096,30005.90229,18462.21968,22109.23014,18729.41555,14387.26765,18507.7815,23647.30299
434.8/318,42880.23342,47545.50804,50391.3786,23883.48741,27723.17853,22185.00362,43212.74859,36932.44349,45964.05051,24902.74873,33074.9062,47513.2677,29434.58166,31583.20925,16895.7485,16315.96903,20349.54065,21090.47537,21990.53273,39814.99359,37215.05873,23832.63511,48614.68065,27703.04877,29918.53946,36454.55982,37057.92542,39842.59115,24264.93593,26012.74881,18841.92598,26789.06462,13873.17318,28568.75585,10059.92338,22214.69611,22593.3537,24514.27337
435.2/320,39375.16464,40236.62207,37285.31308,23592.93683,20506.3638,34176.35592,36622.51263,44761.56575,39672.92005,16946.38121,24056.08469,39639.12269,23816.8975,37638.44944,19780.49265,17592.82639,19342.66047,20373.97892,31264.07721,51212.73881,33529.8075,41905.33375,54848.12304,31782.98575,50113.33289,40199.71804,52171.10434,36780.74723,27983.05759,27358.04591,24963.64775,23366.56586,25072.34853,27402.04926,13259.94809,30674.00442,28302.44132,26149.33207
437.3/318,35556.12634,51835.67722,11540.47626,32403.12304,45482.96239,49354.77332,27566.15747,48078.8689,18818.58253,15145.58204,20091.85165,22709.6614,19680.86634,38263.26971,21615.71173,14371.79608,17090.84332,18327.23553,54407.75796,42141.04687,28174.79433,51621.06252,43626.38228,24272.22978,75022.13169,48030.3575,82974.5356,33651.07967,45034.92174,19247.20274,58631.81859,47802.54616,54388.95728,40842.95985,48563.10078,26948.05167,31752.57699,23769.20697
439/347,12816.95751,11376.80093,26076.86457,4425.322073,4020.852852,3751.213963,8890.722603,14502.652,18040.16152,10584.06577,11121.47605,27488.06524,12678.82834,7845.453224,22737.18352,14471.86366,9956.08955,7680.419546,5268.087277,12572.29728,6508.208864,8726.118383,19593.01491,16225.2799,7617.915575,13513.09806,14879.89111,16342.05265,3822.087969,6069.6991,6960.207557,3412.990422,4502.83179,18082.4285,571.8200397,4428.001145,4001.394467,6799.324487
439.7/311,1128078.67,938871.8272,248606.0964,339198.5624,3084.041629,6341.884347,684000.1026,752237.6265,692361.6246,779230.1347,939663.1308,898931.7327,1016106.94,191217.5492,745635.7927,820755.0211,762009.2272,708971.3869,28702.30438,996806.2976,1063142.617,1180136.685,11772.42646,1758286.276,10309.98927,542541.833,565833.6141,970295.3651,185278.7156,488174.4264,182111.2637,418773.3378,13102.62786,461972.4719,10235.28333,110196.8286,135633.5941,663808.5436
442.1/296,17515.26669,20661.7238,65344.84777,47920.97285,39120.50822,33958.07202,23477.27745,24757.77158,8019.752762,11752.86709,7376.33889,12977.30696,27155.69465,1308.150188,30979.92633,14182.98184,14640.90436,37738.33942,14749.69739,51078.95373,15109.68498,39715.13219,66077.06706,46932.46652,57125.9354,51183.29932,47090.10016,59431.81721,2062.074778,13983.09436,2038.669109,2243.360069,2713.236526,9897.231134,12121.65784,13183.43322,16481.57014,14961.52137
443.2/1247,93005.62955,26291.27886,224898.7792,22142.68053,42439.98131,25725.24305,40748.23545,492566.127,242780.149,116725.7531,211900.6987,136365.4541,37257.78637,95545.34195,76751.6143,88337.7668,93863.48496,29999.92666,1090928.459,500051.4832,19815.11887,516303.6261,622128.8818,267593.6,524455.7208,158962.5586,698763.4776,267492.0777,216863.3073,137684.8377,138301.2802,237723.5671,161028.9766,154815.325,105367.6592,266685.3061,259570.9491,64814.5923
443.7/1246,128687.4343,35579.71283,295260.1401,21408.82867,42477.18892,25123.39891,43360.75128,356580.4199,134079.5841,60602.96586,143548.3909,64863.38438,17354.11208,69924.01807,28754.26449,32908.68799,45891.7855,9860.557775,1372221.911,442985.1607,119829.1519,551130.1727,1006420.158,298584.6724,552604.4118,93126.81296,431033.2702,246614.2967,89397.19855,34508.0716,14818.78969,93247.43081,14329.52429,18344.13498,14713.54379,17690.50724,17698.26968,23122.02355
444.9/1504,3931.779574,7062.189099,1489.083325,4486.958382,5626.175621,6920.376399,7057.83931,6602.621647,3567.862156,11482.79737,3106.184608,2811.578431,4241.26551,5598.309698,1922.886473,4076.004411,3938.588079,1744.412526,266.0091606,10650.91741,758.0631091,1685.028788,574.8377463,2870.283318,4017.487341,31239.28646,32362.86494,5655.483779,3253.956926,19492.19223,3733.651028,14111.28584,5720.720741,11593.58437,14407.16275,39884.16064,37425.87878,15207.84168
446.9/1419,16481.7778,42877.53173,3468.571906,17628.90269,38270.52145,31675.88225,18321.21098,17636.76644,6509.885864,30213.34933,24596.76145,22995.8678,26348.59141,16953.16638,15417.17765,23515.73004,22722.97445,15767.02724,323.1178703,35278.37588,351.7923004,18241.57832,3982.631074,29155.97491,18725.40406,25168.5982,29177.72986,26820.29473,10938.75756,23866.78479,7463.823817,7119.995045,2871.652185,6872.000152,12294.84452,9698.052524,9434.922108,12321.12817
447.3/1422,44910.27321,95219.11127,22132.83532,64657.6063,54928.41069,66487.10219,76337.79119,52990.87666,6648.482798,29963.53696,23676.88128,23291.40897,26489.43369,17069.28656,14895.63957,23080.45185,22725.93471,15952.59858,26928.32156,82571.11099,12007.24685,43814.17252,31358.27053,62941.61989,43551.28957,24725.32181,28187.90843,26527.14498,10725.74048,23547.74148,7706.899005,7397.856745,4131.913951,6905.765603,12424.90957,9847.139226,9372.471662,12087.81913
448.8/266,2306.330555,10009.1379,6576.097436,15307.74618,19327.45111,16821.51383,13377.08578,14591.93069,8847.888857,4728.616919,7458.504367,8927.120047,8592.480142,7935.187014,5937.102422,8091.832077,7976.649673,9080.214181,10950.56189,8849.837905,13939.18242,15344.28876,14152.18163,7337.984634,16471.00784,34374.93612,18593.48864,20496.51966,4277.574035,2796.733852,3216.836384,3816.895282,4252.831579,4516.790801,5969.329297,3999.705671,3391.843034,3025.3759
453.7/322,41957.61542,9310.462239,7680.255237,11357.92687,11142.8844,18850.05824,6314.292476,47890.21233,25722.21937,52186.60387,38295.69366,35058.57168,33395.7713,36791.15263,47874.69531,43513.1381,42484.39526,29802.46645,43128.45622,55939.30817,47572.07619,38502.34174,37656.26705,30856.7497,68297.00074,35971.62495,92829.70779,45648.76045,61680.00132,32566.44286,72275.3811,44262.29113,57750.32881,45631.35789,44429.06252,42187.36277,45652.12238,33714.09925
454.9/1074,26714.42142,101056.9742,51215.05866,152246.7823,114213.6103,141094.2061,91035.54829,17916.21095,784.9558419,3796.698521,1648.255111,4238.965931,1397.71927,12325.67936,3388.798561,6509.769584,7477.0478,775.1957157,12625.14743,589.291196,2198.914394,3459.915591,5700.943048,1050.290958,1402.857768,999.3794185,723.5533453,1007.691434,357.6968316,113.8594769,344.6292873,318.6546684,282.6555168,290.1611797,266.9583257,456.9062935,265.9761562,195.0038799
457/1376,4412.083337,6559.030335,5497.009157,3219.28358,3735.482171,3344.848136,5782.891714,1590.093827,381.2398203,604.1091035,769.199631,363.3062512,1003.387749,913.0357234,66.31965207,132.9805569,295.7233044,704.5955867,138572.4747,18489.2937,6412.788727,28954.5987,18146.80465,14804.51181,15213.356,5455.928826,10243.06287,10051.15937,7852.036331,7637.253775,6778.669334,9940.674853,6670.029608,4030.280891,6908.573976,12192.605,9781.447967,5607.430509
458.2/299,9618.322727,5993.416634,29720.76542,16272.66637,37166.6045,30282.61362,7461.080927,38563.65357,5066.223177,2814.642166,1964.175775,3857.217141,9443.858836,1367.327004,4900.600132,3991.380517,4229.173062,9996.888287,10432.2303,26280.11125,6912.894307,36046.76843,47494.15212,16988.78656,47862.25531,47517.33018,30342.06637,18560.74523,1381.215702,5075.160704,3417.198695,4082.356695,1289.113467,5377.087466,8123.417761,3170.060131,3296.434443,4551.505648
461/1611,829.8302403,3014.940678,993.5334486,822.0670306,560.1359654,565.3956383,1801.153131,2284.111468,6982.347289,12915.48623,13056.05434,10602.51941,1909.915934,12435.64209,4573.772247,7960.29681,8156.575895,2964.789817,368.5297244,2063.520971,599.037428,1138.99404,637.1838102,641.1948131,370.6461129,361.8738649,1870.957404,765.1368924,6790.601928,2091.00935,5962.519175,10181.74055,4520.730062,4183.948213,5929.165177,6601.591402,6148.332761,4076.669584
462.7/2324,10873.76065,12299.03779,16099.52704,11100.49166,14503.35065,17205.25998,16997.70134,7683.316438,6822.609198,2376.475429,5503.03138,3287.043744,2257.206372,3727.097642,1764.587751,2196.802691,2457.31768,1139.259418,13922.48306,11114.46349,8899.37302,13465.88188,12155.80799,14054.57352,4460.482007,12267.03539,11567.52444,13335.70614,2403.600981,430.1135818,1518.414168,947.6193627,1169.675959,1620.38009,1038.108747,1083.337451,720.8248846,1183.544339
462.9/1358,9705.316307,21994.85772,5074.908828,5721.177653,15307.1861,29923.23996,39310.19297,3800.692775,49015.48085,46986.36377,40303.1245,13712.42891,6396.09274,15943.82604,33413.56973,22693.91814,22790.24255,1859.823504,90.54115521,10145.79591,488.4348217,228.6761149,1849.142241,1269.378229,10132.60722,12873.82046,9647.74782,10610.22508,8136.097047,5331.381956,10384.49642,6692.91963,4145.307071,4403.359042,7443.810266,20121.58649,19948.99474,4679.080067
464.7/266,3481.298006,9573.679732,7376.206578,13305.42373,12109.13076,13028.40387,10090.85068,11621.3961,8122.587643,6615.69226,6195.688793,7522.078702,8729.053448,8365.988533,5602.216765,5799.164355,6131.554017,10909.22577,10659.67257,9784.185441,16021.43231,15011.88169,9006.297336,9078.312838,14282.42944,18409.40241,14982.47817,16437.24581,2971.390601,2636.822265,2434.766467,3859.578955,3559.385764,6164.733614,3270.378154,3509.561891,4305.854347,3157.853933
467.1/1255,16195.83439,11709.25659,10785.21261,5984.96677,8596.772775,11033.55185,10429.15947,23791.55028,19044.71332,15892.55604,18873.35153,17100.83778,8850.164788,10602.00401,21613.41084,19167.19187,20520.94139,9199.717298,5392.746879,13477.23614,4858.811699,11286.24626,7888.618707,12077.65313,12399.29563,11103.82584,17632.11387,14686.75257,18050.52504,7732.228105,8469.002594,15117.17388,5583.958299,12028.50419,614.6328554,2834.755611,2104.505145,10925.14521
467.3/1303,8023.790828,15444.12837,20382.0442,16283.43962,20067.48082,14475.54211,14558.42012,4725.705862,1102.831683,2458.365491,2324.347625,1815.752457,6657.943976,2429.089896,407.3627934,901.7264956,1116.502295,2522.790684,6544.977049,23599.08133,4025.408612,17521.65919,10364.10701,14672.95961,26020.73392,22798.42183,17341.75263,17300.78299,4175.595233,12843.28519,3483.441152,6878.500079,5520.024921,7098.112915,3809.402361,8093.169354,6215.425381,10346.91497
473.9/1639,14020.53613,14871.21802,14978.33332,18181.07369,17612.44479,23961.73705,23277.77665,33823.23405,874.7723618,26699.09449,4571.22517,6351.5146,6683.568741,5392.010647,735.4825768,10552.67976,11599.79955,3362.290799,287.0108673,22838.78615,1586.588877,3835.773518,1247.133574,3280.973808,11228.08889,14660.73574,20339.19454,3640.120332,3084.142069,8991.835947,1923.549011,6931.172862,7855.822431,416.9656981,10486.48123,1899.194686,1017.905933,3207.615957
474.4/302,14821.4671,22553.12991,78839.06397,74273.26058,50692.38463,42032.09632,15287.99522,21398.98598,7564.557142,12395.10373,8387.546224,8752.463737,24417.00868,1653.267549,31484.37093,25094.78464,24717.25352,21981.5314,21438.80964,74716.85959,17029.54592,51825.01518,76111.48363,75659.596,24989.47889,61839.61236,36468.89352,34893.45349,2095.216322,6196.787537,3339.972216,2503.192393,2221.929099,5564.870058,12877.48333,4059.249443,6703.971473,4879.692978
480.9/1493,12931.46834,9159.471218,1804.759201,6121.928697,8962.494735,8556.607897,4191.315687,6229.953557,31171.28344,27764.80349,13403.00143,11613.38463,8121.969725,25369.5851,18546.38955,15616.71912,14945.54918,2446.894704,994.537445,5236.344417,3977.988669,1944.01873,1715.210645,2049.347406,2320.791222,20770.98323,8901.992335,3796.07445,4921.553485,8179.057383,5174.985089,9498.662373,2669.791437,5494.134498,4379.042072,29219.70184,33485.33721,8457.349736
483.2/1676,35483.99829,16373.37145,12166.56671,22703.27211,12418.23566,21978.07451,36539.20151,13731.6566,16456.39759,7446.768532,11534.09386,4436.253405,5855.297453,6171.427124,11598.75285,7226.023991,8469.662348,1708.650407,3858.722616,7780.625597,1946.132978,8711.184884,3888.845704,2416.031726,8010.681034,14265.78787,8241.640026,9528.329456,10843.07,3690.051942,8447.418376,6363.211727,8373.001572,2296.429777,2810.694894,6798.489018,5323.450639,6194.738082
483.7/320,18815.90977,3669.461509,2908.885209,6269.621338,6330.001603,8805.168478,4117.720031,12391.89353,7161.40687,16375.00386,10957.05914,16553.96105,18757.89649,7379.172179,12670.83989,11432.79636,11749.4589,21821.15106,8658.609856,18962.75917,21840.6935,8321.377099,11607.24476,13375.3708,21424.09867,5827.382744,23853.98454,10774.35082,22871.37873,14257.64901,20029.20247,24529.49111,12228.1213,13023.30154,12683.23957,14940.28741,14776.1221,17490.33613
485.1/1484,20392.68306,11512.47465,44727.689,49238.50397,43194.14324,40005.50169,12060.77986,27358.57532,4790.052937,10365.89791,17244.2297,13548.32201,9217.282123,9783.153443,3996.064958,4772.819761,4005.940953,4630.799247,30719.5608,34467.5305,75364.41728,29427.43463,36957.06334,71781.04516,31363.82253,17556.01586,31000.01792,44291.99151,9611.784626,10262.91733,6602.667125,8987.105757,7107.194764,5380.394864,5984.282858,11726.42926,11067.45193,5322.194791
487.2/1715,310.5666597,0,174.6320007,0,70.16802744,109.4225943,0,605.3367743,20401.7848,24664.5725,11319.89914,46290.45552,45010.51637,50061.85671,42957.5349,42803.0936,40053.32847,17462.54146,182.1865414,170.4683924,684.2417987,186.2819208,263.1278201,405.7277516,160.452358,97.59385233,366.5343213,368.3389916,15219.06333,28210.37797,49242.37328,12977.98012,41601.861,22582.60136,19966.897,32124.81772,25724.91506,29980.77694
487.8/1033,7534.565273,3582.532656,5263.877065,1065.132104,5022.995017,4431.664523,3155.365267,42196.9496,29688.69961,27182.74156,31255.67129,14069.40931,3180.359951,17121.43014,12048.94258,11130.39948,10606.62263,1757.583864,109777.4694,1306.363036,24946.28721,1074.83358,1890.059217,1177.851919,6924.093719,879.3296366,3021.956799,10055.40708,11854.49541,2038.498043,9512.077535,11788.51515,9811.56051,7050.134561,12491.21112,30409.68517,21368.12331,5753.147089
