"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38"
"HG1",-6.08954003154418,10.7445510767256,-1.22041872177758,3.69487227732351,-7.02276980321232,8.39228587562504,-1.38787952230662,0.454323785262754,-2.39971297938987,3.00573771324697,-9.5025854095611,5.93121231243638,-3.05556643695063,1.69461967876274,3.5463562479684,-2.65170751331156,-0.851383627647375,-2.33793459657937,-1.51083103054839,2.41415298535061,1.38180759302055,-1.64535003231813,-0.3563353396432,-0.366996027973952,-0.888023186124435,-0.554845374312791,0.290311553570202,0.697446622494437,0.428707164939313,0.0984280655915705,0.705479812314542,-0.970143558981208,-0.0517731439971695,-0.186507909699889,-0.15358587727882,0.168428713434742,0.0317363128166142,7.23726634177524e-15
"HG10",-8.87715979728168,16.4414311858768,-7.35528145245714,-2.82136415254595,-0.795842501163899,3.68773561233097,4.92858581780942,5.11675591848454,5.77730970580795,-0.0678165550677471,0.392195406105681,0.385544346679153,4.71337935547647,0.489405214961297,-0.797449139832226,0.916766397252684,-0.416431873751271,-0.340319237582791,-2.13268032474899,-0.173307326382036,-3.69921870187364,0.463562979973066,0.0602550498720984,2.19750547041103,-3.62527859129071,-3.82307768187154,-0.346535262502821,-0.0775804758397399,0.761339126320315,-0.472208401373935,0.124065829446977,0.849245191939379,0.564261906065365,0.543183014723066,-0.0926248927845721,0.312430353077569,0.0103267104137811,6.3872518385466e-15
"HG4",-20.5020056150201,4.1072301575341,2.57564907735406,-3.61756272674758,-0.911099878255105,0.410024877985058,1.62718111499103,1.03270807733626,-8.99905420632713,6.51729857130125,-2.42891017602454,-6.93789250421945,2.61499565489998,3.22709046312059,-2.23552027891072,-0.316719673974464,-0.0115867931039977,-2.74223935155479,4.10947797166948,-1.33097575715372,-2.13815633256611,0.0482945651695975,-1.90354875887414,0.403995296050755,0.376015895184219,0.556911565010669,0.60913553445346,0.00184897496127993,0.978612780920307,0.269292258701941,-0.162983734602991,0.0127349316430812,-0.387872100579272,0.223275848551794,0.132611140534378,-0.10290553091315,-0.0232090076065937,3.97598620693884e-15
"HG5",-18.2373615631807,13.4150616076144,-7.01221101949373,-8.63219919243171,3.01351560955245,3.45526997081834,2.52440824544922,-4.88502712879767,-3.45530660912984,0.0568097067241272,1.24992054275278,-2.39799403152299,-3.16254982897092,-1.175446347974,0.848692704647697,-4.0252560549069,3.17607015343651,-0.266948655400944,-1.45636392176656,-1.12661892104276,2.28094125811183,2.42535798978876,3.52795622943857,0.797232962529544,-2.11622477904164,1.06889951982001,-0.246857226607487,-0.885821892923261,-2.44552183864678,0.139583614837959,-0.153785811816999,0.934688738631028,0.547171160841418,-0.0151244601505347,-0.366454988700813,0.00530263564261858,-0.0645764200854647,6.20337115009306e-15
"HG6",-11.042516366488,14.321518179071,-6.4725743639655,-4.00004989310701,-1.60674752620541,4.6871577106397,-3.62182499022786,-2.65843835530042,-1.64079397444237,-1.07714643653776,7.18078526600632,-1.03903048893265,-2.6937140767241,0.470804644439225,-0.498445585169404,0.440774951731955,-2.01447606887497,0.787406831339436,-0.599205095126291,0.647737542560623,-0.417744894118305,-1.58205121386888,0.000234973338359288,0.222865136403986,2.69153377491301,-0.944802158357119,-1.30171287195296,0.263529535154851,1.28605959572185,-2.31578730060097,2.77075353478406,-0.894021532644944,-1.17653106394311,-0.363548853885548,-1.5237029345427,0.332403568597434,0.147281952833747,6.15826833971767e-15
"HG7",-10.7313709267867,14.2677924206124,-5.46519522442265,-2.49684395849028,-3.40924875060163,5.87859055375835,-3.09368417316719,-3.7531906084705,1.79640233836447,-1.29018131306801,4.86028771123701,0.971528035573446,-3.43060604390585,-0.910852258538569,-1.66749628923696,2.3610511933203,-2.0360819156317,-0.639085127596931,1.06017787374949,2.26178597613839,-0.353805282460575,-2.43820876118486,-1.47572917436457,1.03982145091484,-0.401857081363071,1.90183816710893,0.0661227275847311,1.20013071246613,0.358403523468226,1.7978933889748,-2.50161080695792,0.449674212429912,0.989855649098636,0.640454103739149,2.05538194789211,-0.415897836425135,-0.152109458583552,5.41233724504764e-15
"HG8",-10.3323306033962,16.653579130484,-4.91085534102613,-4.44251662529834,-3.38169816842985,5.13915229310468,4.1797012757334,3.55131476127409,7.89906540284517,2.01779640963314,-2.99157388962703,1.8400027580673,4.24963381726316,-1.16364868244506,-3.12383612548772,2.44993927854752,0.672413982587339,0.783879504074042,1.35964874112518,-1.63091095392786,3.37185403820583,1.482123929925,0.109121682943702,-1.7185205974926,3.49507481984791,2.02347414147903,0.83188117680955,0.172706589258473,-0.826004984056975,0.0479578702016907,0.0557741539602588,-0.0370514321293233,-0.716110976267687,-0.406019421884436,-0.236428679163879,-0.121775399667839,0.039088547770048,6.32133234645949e-15
"HG9",-0.82420942431301,10.6512314371433,2.12538229101407,5.59610053181398,-7.91808270558693,3.42829627929982,-3.81352304448732,2.15238683506436,-3.45212896230036,-0.780155633875013,0.632424297966913,-0.808093037885419,-0.456786400696695,-1.23595191574314,6.35095347367863,2.24384425589731,-0.938939189190534,6.73106456393495,2.84976736411378,-1.90354678832467,-1.7090465150321,2.51203926921741,-0.0625242207795886,-1.03186802938578,0.0096221953654527,-0.832812965892485,0.87205572772302,-0.390458461217806,-0.748227194643048,0.810505395207764,-0.625448166264618,0.253547003077101,0.481626587255671,0.0663717493943489,-0.491085680882116,-0.0187236480357815,0.029724279324812,7.04991620636974e-15
"MG1",14.0108816378592,12.9391562439582,7.92174495553027,2.38138329567231,3.39786908606394,0.147631567052056,5.31787539824771,-1.22206619587961,-0.0104119355519573,-4.3371069123134,-3.71027045715925,-2.26073307955082,-4.23869227308179,1.50193252952286,-2.72018651488626,1.85596318513836,1.89892486639102,2.81111126216905,-1.12631069109814,-4.95193500749944,-0.206787229459739,-4.46630397754572,1.01018796768845,0.509168473589572,-0.948168527110808,0.395886031065369,1.57485905104921,0.800508146281772,0.94704330482748,0.480525429408524,0.256077149524459,-0.658022515008089,-0.0946726924897923,0.179392167608661,-0.507819842180319,-0.286983358780465,-0.0164362747566632,7.45931094670027e-15
"MG10",15.5304637038981,8.55831570771581,4.92285607977609,1.0182407732184,-0.35870061996827,-5.61231259405419,-3.26764627027198,-1.93505004287816,1.33254431229384,0.257063077949009,0.587290881449847,-0.868860855393858,1.79782187388505,1.49042622770383,3.32352671420585,2.28596981790845,-4.363426816748,-4.87205957079812,1.78025367729269,-1.85237608616506,3.25397302954232,-0.693120165431535,3.80272337514268,1.74305602884122,1.05432590735247,-1.64895579056666,0.558034314234085,-0.401950929417723,-0.0391050736255239,0.177511734600471,-0.769734522472677,0.868110759606393,-0.0938025692744508,1.38095114239373,-0.41124286444543,0.445488351974747,0.130697949462977,8.03870858767652e-15
"MG2",8.76090867343614,9.70833045053941,4.26860215277274,9.08135788105895,-0.927218370574092,-0.931474787085719,1.41285872841738,3.07309104726914,-0.647737721728047,-0.827424579793174,3.09740167673484,-1.33027343377651,0.790975580684878,3.21623433581501,0.704207601555116,1.86455698017844,2.99556912637555,-1.85687032179836,0.398856041079597,2.35012892218899,1.76749725257606,-1.15667247285582,-1.2430025775804,0.479117502766008,-0.453341234009825,0.323211615220882,-0.616968564344915,-0.295693116881434,-1.12090077818489,-1.51785709565077,-1.23615532322757,0.896264673925749,1.46324123599213,-3.47308515259466,-1.12402564639679,-0.25338094982706,-0.207860444287954,7.629313847346e-15
"MG3",11.8966910590783,10.8147855232327,4.11361608301165,6.29821677537393,-0.802654896695617,-1.62630802779279,-1.68761032734469,1.50550983931768,-1.40671110808637,0.0495018568389949,1.51569943706636,1.49994796125567,0.518298652419409,0.585027411811189,0.0111545963300305,0.798187913783929,5.31900521318716,0.254929569603731,1.58544332690508,-0.0174297852939847,2.08248530035529,2.2891135878636,0.704914912426613,-0.227690983638919,-1.67180006549405,0.70231960452209,-3.22904919672611,1.76906826211251,2.40947832152978,-1.19747229581983,0.608612233258397,0.0352472799529362,-1.44503896358396,1.41106097785053,1.82225070077821,0.0305789234177109,-0.0406542665508506,6.56419363309624e-15
